Date,Year of Study,Subject,Sex,Location,Time,Salary
4小時前,中三 ,"英文,數學,會計",女,將軍澳,"1 堂 x 1.5小時, 星期五",$140
6小時前,小一 ,普通話,男,西營盤,"1 堂 x 45分鐘, 星期六",$150
6小時前,小一 ,普通話,男,西營盤,"1 堂 x 1小時, 星期一至六",$110
12小時前,小五 ,"全科,英文,常識",女,荃灣,"2 堂 x 2小時, 星期一至日",$120
12小時前,小一 ,"全科,中文,英文",男,荃灣,"2 堂 x 1.5小時, 星期三六日",$100
15小時前,小四 ,全科,男,將軍澳坑口,"4 堂 x 1小時, 星期一二三四",$120
16小時前,中二 ,全科,男,將軍澳,"3 堂 x 1.5小時, 星期一三五",$120
1日前,小一 ,全科,女,葵涌,"2 堂 x 1.5小時, 星期三四",$110
1日前,小五 ,"英文,數學",男,大圍,"1 堂 x 1小時, 星期五",$100
1日前,小三 ,英文,男,將軍澳坑口,"2 堂 x 1.5小時, 星期一四",$100
1日前,小五 ,"英文,數學",女,沙田,"4 堂 x 1.5小時, 星期一二三四",$100
1日前,小四 ,數學,女,中上環,"2 堂 x 1.5小時, 星期二三四六",$120
1日前,中四 ,"經濟,會計",女,天水圍,"1 堂 x 2小時, 星期六",$180
1日前,中四 ,"英文,經濟",女,觀塘,"1 堂 x 1.5小時, 星期六日",$140
1日前,中三 ,通識，英國文學，歷史,女,將軍澳,"1 堂 x 1.5小時, 星期六日",$130
